,Name,Genre,Director,Cast
125,Scarface,Crime/Drama,Brian De Palma,Al Pacino/Michelle Pfeiffer
126,The Gold Rush,Adventure/Comedy/Drama,Charles Chaplin,Charles Chaplin/Mack Swain
127,The Seventh Seal,Drama/Fantasy,Ingmar Bergman,Max von Sydow/Gunnar Björnstrand
128,The Bridge on the River Kwai,Adventure/Drama/War,David Lean,William Holden/Alec Guinness
129,It Happened One Night,Comedy/Romance,Frank Capra,Clark Gable/Claudette Colbert
130,Pan's Labyrinth,Drama/Fantasy/War,Guillermo del Toro,Ivana Baquero/Ariadna Gil
131,Up,Animation/Adventure/Comedy,Pete Docter,Edward Asner/Jordan Nagai
132,Toy Story,Animation/Adventure/Comedy,John Lasseter,Tom Hanks/Tim Allen
133,Judgment at Nuremberg,Drama/War,Stanley Kramer,Spencer Tracy/Burt Lancaster
134,My Neighbor Totoro,Animation/Family/Fantasy,Hayao Miyazaki,Hitoshi Takagi/Noriko Hidaka
135,Die Hard,Action/Thriller,John McTiernan,Bruce Willis/Alan Rickman
136,Rebecca,Drama/Film-Noir/Mystery,Alfred Hitchcock,Laurence Olivier/Joan Fontaine
137,Heat,Action/Crime/Drama,Michael Mann,Al Pacino/Robert De Niro
138,The Secret in Their Eyes,Drama/Mystery/Thriller,Juan José Campanella,Ricardo Darín/Soledad Villamil
139,Gravity,Adventure/Drama/Sci-Fi,Alfonso Cuarón,Sandra Bullock/George Clooney
140,"1946 - ""The Best Years of Our Lives""",Drama/Romance/War,William Wyler,Fredric March/Dana Andrews
141,Les Diabolique (1955),Crime/Drama/Horror,Henri-Georges Clouzot,Simone Signoret/Véra Clouzot
142,Warrior,Drama/Sport,Gavin O'Connor,Tom Hardy/Nick Nolte
143,Blade Runner,Sci-Fi/Thriller,Ridley Scott,Harrison Ford/Rutger Hauer
144,Underground,Comedy/Drama/War,Emir Kusturica,Predrag 'Miki' Manojlovic/Lazar Ristovski
145,"Lock, Stock and Two Smoking Barrels",Comedy/Crime,Guy Ritchie,Jason Flemyng/Dexter Fletcher
146,Cool Hand Luke,Drama,Stuart Rosenberg,Paul Newman/George Kennedy
147,Hachi: A Dog's Tale,Drama/Family,Lasse Hallström,Richard Gere/Joan Allen
148,The Big Lebowski,Comedy/Crime,Joel Coen,Jeff Bridges/John Goodman
149,The Avengers,Action/Sci-Fi/Thriller,Joss Whedon,Robert Downey Jr./Chris Evans
150,The Maltese Falcon,Film-Noir/Mystery,John Huston,Humphrey Bogart/Mary Astor
151,V for Vendetta,Action/Drama/Thriller,James McTeigue,Hugo Weaving/Natalie Portman
152,Gone with the Wind,Drama/History/Romance,Victor Fleming,Clark Gable/Vivien Leigh
153,Gran Torino,Drama,Clint Eastwood,Clint Eastwood/Bee Vang
154,Good Will Hunting,Drama,Gus Van Sant,Robin Williams/Matt Damon
155,Incendies,Drama/Mystery/War,Denis Villeneuve,Lubna Azabal/Mélissa Désormeaux-Poulin
156,Fanny and Alexander,Drama,Ingmar Bergman,Bertil Guve/Pernilla Allwin
157,My Sassy Girl,Comedy/Drama/Romance,Jae-young Kwak,Tae-hyun Cha/Ji-hyun Jun
158,Touch of Evil,Crime/Drama/Film-Noir,Orson Welles,Charlton Heston/Orson Welles
159,Into the Wild,Adventure/Biography/Drama,Sean Penn,Emile Hirsch/Vince Vaughn
160,The Deer Hunter,Drama/War,Michael Cimino,Robert De Niro/Christopher Walken
161,Casino,Biography/Crime/Drama,Martin Scorsese,Robert De Niro/Sharon Stone
162,Mary and Max,Animation/Comedy/Drama,Adam Elliot,Toni Collette/Philip Seymour Hoffman
163,How to Train Your Dragon,Animation/Action/Adventure,Dean DeBlois,Jay Baruchel/Gerard Butler
164,Hotel Rwanda,Drama/History/War,Terry George,Don Cheadle/Sophie Okonedo
165,Trainspotting (1996),Drama,Danny Boyle,Ewan McGregor/Ewen Bremner
166,The Grapes of Wrath (1940),Drama/History,John Ford,Henry Fonda/Jane Darwell
167,Persona,Drama/Thriller,Ingmar Bergman,Bibi Andersson/Liv Ullmann
168,Butch Cassidy and the Sundance Kid,Biography/Crime/Drama,George Roy Hill,Paul Newman/Robert Redford
169,The 400 Blows,Crime/Drama,François Truffaut,Jean-Pierre Léaud/Albert Rémy
170,Fargo,Crime/Drama/Thriller,Joel Coen,William H. Macy/Frances McDormand
171,The Princess Bride,Adventure/Family/Fantasy,Rob Reiner,Cary Elwes/Mandy Patinkin
172,Annie Hall,Comedy/Romance,Woody Allen,Woody Allen/Diane Keaton
173,Dial M for Murder (1954),Crime/Thriller,Alfred Hitchcock,Ray Milland/Grace Kelly
174,"Black Cat, White Cat",Comedy/Crime/Romance,Emir Kusturica,Bajram Severdzan/Srdjan 'Zika' Todorovic
175,Network,Drama,Sidney Lumet,Faye Dunaway/William Holden
176,8½,Drama/Fantasy,Federico Fellini,Marcello Mastroianni/Anouk Aimée
177,Stalker,Drama/Sci-Fi,Andrei Tarkovsky,Alisa Freyndlikh/Aleksandr Kaydanovskiy
178,The Hobbit: The Desolation of Smaug,Adventure/Fantasy,Peter Jackson,Ian McKellen/Martin Freeman
179,La Strada,Drama,Federico Fellini,Anthony Quinn/Giulietta Masina
180,Tae Guk Gi: The Brotherhood of War,Action/Drama/War,Je-kyu Kang,Dong-gun Jang/Bin Won
181,The Thing,Horror/Mystery/Sci-Fi,Matthijs van Heijningen Jr.,Mary Elizabeth Winstead/Joel Edgerton
182,Sin City,Action/Crime/Thriller,Frank Miller,Mickey Rourke/Jessica Alba
183,Nausicaä of the Valley of the Wind,Animation/Adventure/Fantasy,Hayao Miyazaki,Sumi Shimamoto/Mahito Tsujimura
184,"Monty Python's Life of Brian (1979, Terry Jones)",Comedy,Terry Jones,Graham Chapman/John Cleese
185,The Sixth Sense,Drama/Mystery/Thriller,M. Night Shyamalan,Bruce Willis/Haley Joel Osment
186,A Beautiful Mind,Biography/Drama,Ron Howard,Russell Crowe/Ed Harris
187,Platoon,Drama/War,Oliver Stone,Charlie Sheen/Tom Berenger
188,Amores Perros,Drama/Thriller,Alejandro G. Iñárritu,Emilio Echevarría/Gael García Bernal
