,Name,Genre,Director,Cast
881,Harry Potter and the Order of the Phoenix,Adventure/Family/Fantasy,David Yates,Daniel Radcliffe/Emma Watson
882,Deconstructing Harry (1997),Comedy,Woody Allen,Woody Allen/Judy Davis
883,Dawn of the Dead 2004,Action/Horror/Thriller,Zack Snyder,Sarah Polley/Ving Rhames
884,The Squid and the Whale,Comedy/Drama,Noah Baumbach,Owen Kline/Jeff Daniels
885,Vacation,Adventure/Comedy,John Francis Daley,Ed Helms/Christina Applegate
886,X-Men,Action/Adventure/Sci-Fi,Bryan Singer,Patrick Stewart/Hugh Jackman
887,My Sister's Keeper,Drama,Nick Cassavetes,Cameron Diaz/Abigail Breslin
888,Final Fantasy VII: Advent Children,Animation/Action/Adventure,Tetsuya Nomura,Takahiro Sakurai/Ayumi Itô
889,Harry Potter and the Sorcerer's Stone,Adventure/Family/Fantasy,Chris Columbus,Daniel Radcliffe/Rupert Grint
890,Red Cliff,Action/Adventure/Drama,John Woo,Tony Chiu Wai Leung/Takeshi Kaneshiro
891,Bambi,Animation/Drama/Family,James Algar,Hardie Albright/Stan Alexander
892,The Cider House Rules (1999),Drama/Romance,Lasse Hallström,Tobey Maguire/Charlize Theron
893,Poltergeist,Fantasy/Horror,Tobe Hooper,JoBeth Williams/Heather O'Rourke
894,Wristcutters: A Love Story,Comedy/Drama/Fantasy,Goran Dukic,Patrick Fugit/Shea Whigham
895,Spider-Man 2,Action/Adventure,Sam Raimi,Tobey Maguire/Kirsten Dunst
896,Mr. Brooks,Crime/Drama/Thriller,Bruce A. Evans,Kevin Costner/Demi Moore
897,Corpse Bride,Animation/Drama/Family,Tim Burton,Johnny Depp/Helena Bonham Carter
898,The Rock (1996),Action/Adventure/Thriller,Michael Bay,Sean Connery/Nicolas Cage
899,Iron Man 3,Action/Adventure/Sci-Fi,Shane Black,Robert Downey Jr./Guy Pearce
900,Death at a Funeral,Comedy,Frank Oz,Matthew Macfadyen/Peter Dinklage
901,Don't Look Now,Drama/Horror/Thriller,Nicolas Roeg,Julie Christie/Donald Sutherland
902,Tootsie,Comedy/Drama/Romance,Sydney Pollack,Dustin Hoffman/Jessica Lange
903,Master and Commander: The Far Side of the World (2003),Action/Adventure/Drama,Peter Weir,Russell Crowe/Paul Bettany
904,Frida,Biography/Drama/Romance,Julie Taymor,Salma Hayek/Alfred Molina
905,Layer Cake,Crime/Drama/Thriller,Matthew Vaughn,Daniel Craig/Sienna Miller
906,Lady and the Tramp,Animation/Adventure/Comedy,Clyde Geronimi,Barbara Luddy/Larry Roberts
907,The Place Beyond the Pines,Crime/Drama/Thriller,Derek Cianfrance,Ryan Gosling/Bradley Cooper
908,Cube,Mystery/Sci-Fi/Thriller,Vincenzo Natali,Nicole de Boer/Maurice Dean Wint
909,Shallow Grave,Crime/Thriller,Danny Boyle,Kerry Fox/Christopher Eccleston
910,Irreversible,Crime/Drama/Mystery,Gaspar Noé,Monica Bellucci/Vincent Cassel
911,The Adventures of Tintin: The Secret of the Unicorn (2011),Animation/Action/Adventure,Steven Spielberg,Jamie Bell/Andy Serkis
912,Limitless,Mystery/Sci-Fi/Thriller,Neil Burger,Bradley Cooper/Anna Friel
913,Lars and the Real Girl,Comedy/Drama/Romance,Craig Gillespie,Ryan Gosling/Emily Mortimer
914,Wall Street,Crime/Drama,Oliver Stone,Charlie Sheen/Michael Douglas
915,Rounders,Crime/Drama,John Dahl,Matt Damon/Edward Norton
916,Rescue Dawn,Adventure/Biography/Drama,Werner Herzog,Christian Bale/Steve Zahn
917,Carrie,Drama/Fantasy/Horror,Kimberly Peirce,Chloë Grace Moretz/Julianne Moore
918,Heathers,Comedy/Crime/Drama,Michael Lehmann,Winona Ryder/Christian Slater
919,Easy Rider,Adventure/Drama,Dennis Hopper,Peter Fonda/Dennis Hopper
920,The Animatrix,Animation/Action/Adventure,Peter Chung,Clayton Watson/Akio Ôtsuka
921,Me and You and Everyone We Know,Comedy/Drama,Miranda July,John Hawkes/Miranda July
922,The Next Three Days,Crime/Drama/Romance,Paul Haggis,Russell Crowe/Elizabeth Banks
923,Law Abiding Citizen,Crime/Drama/Thriller,F. Gary Gray,Gerard Butler/Jamie Foxx
924,Black Dynamite,Action/Comedy,Scott Sanders,Arsenio Hall/Tommy Davidson
925,The Descendants,Comedy/Drama,Alexander Payne,George Clooney/Shailene Woodley
926,The Piano Teacher,Drama/Music/Romance,Michael Haneke,Isabelle Huppert/Annie Girardot
927,Home Alone,Comedy/Family,Chris Columbus,Macaulay Culkin/Joe Pesci
928,Jane Eyre,Drama/Romance,Cary Joji Fukunaga,Mia Wasikowska/Michael Fassbender
929,"Paris, je t'aime",Comedy/Drama/Romance,Olivier Assayas,Juliette Binoche/Leonor Watling
930,The Fountain,Drama/Sci-Fi,Darren Aronofsky,Hugh Jackman/Rachel Weisz
931,Quills,Biography/Drama,Philip Kaufman,Geoffrey Rush/Kate Winslet
932,Caddyshack,Comedy/Sport,Harold Ramis,Chevy Chase/Rodney Dangerfield
933,The Rocky Horror Picture Show,Comedy/Horror/Musical,Kenny Ortega,Reeve Carney/Tim Curry
934,Dogma,Adventure/Comedy/Drama,Kevin Smith,Ben Affleck/Matt Damon
935,Revolutionary Road,Drama/Romance,Sam Mendes,Leonardo DiCaprio/Kate Winslet
936,The Science of Sleep,Comedy/Drama/Fantasy,Michel Gondry,Gael García Bernal/Charlotte Gainsbourg
937,Invasion of the Body Snatchers,Horror/Sci-Fi,Philip Kaufman,Donald Sutherland/Brooke Adams
938,Back to the Future Part III,Action/Adventure/Comedy,Robert Zemeckis,Michael J. Fox/Christopher Lloyd
939,Angel Heart,Horror/Mystery/Thriller,Alan Parker,Mickey Rourke/Robert De Niro
940,Mission: Impossible – Ghost Protocol,Action/Adventure/Thriller,Brad Bird,Tom Cruise/Jeremy Renner
941,Contact,Drama/Mystery/Sci-Fi,Robert Zemeckis,Jodie Foster/Matthew McConaughey
942,Sleeping Beauty,Drama/Romance,Julia Leigh,Emily Browning/Rachael Blake
943,Invictus,Biography/Drama/History,Clint Eastwood,Morgan Freeman/Matt Damon
944,Peter Pan,Adventure/Family/Fantasy,P.J. Hogan,Jeremy Sumpter/Jason Isaacs
945,The Hudsucker Proxy,Comedy/Fantasy,Joel Coen,Tim Robbins/Paul Newman
946,Seabiscuit,Drama/History/Sport,Gary Ross,Tobey Maguire/Jeff Bridges
947,Kung Fu Panda 2,Animation/Action/Adventure,Jennifer Yuh Nelson,Jack Black/Angelina Jolie
948,Frailty,Crime/Drama/Thriller,Bill Paxton,Bill Paxton/Matthew McConaughey
949,Superman,Action/Adventure/Drama,Richard Donner,Christopher Reeve/Margot Kidder
950,K-PAX,Drama/Mystery/Sci-Fi,Iain Softley,Kevin Spacey/Jeff Bridges
951,"Synecdoche, New York",Comedy/Drama,Charlie Kaufman,Philip Seymour Hoffman/Samantha Morton
952,The Way Back,Adventure/Biography/Drama,Peter Weir,Jim Sturgess/Ed Harris
953,Punch-Drunk Love (2002),Comedy/Drama/Romance,Paul Thomas Anderson,Adam Sandler/Emily Watson
954,A Time to Kill,Crime/Drama/Thriller,Joel Schumacher,Matthew McConaughey/Sandra Bullock
955,Closer,Drama/Romance,Mike Nichols,Natalie Portman/Jude Law
956,Ring,Horror/Mystery,Gore Verbinski,Naomi Watts/Martin Henderson
957,Borat: Cultural Learnings of America for Make Benefit Glorious Nation...,Comedy,Larry Charles,Sacha Baron Cohen/Ken Davitian
958,Crazy Heart,Drama/Music/Romance,Scott Cooper,Jeff Bridges/Maggie Gyllenhaal
959,Frequency,Crime/Drama/Mystery,Gregory Hoblit,Dennis Quaid/Jim Caviezel
960,Sleeper (1973),Comedy/Sci-Fi,Woody Allen,Woody Allen/Diane Keaton
961,The Lincoln Lawyer,Crime/Drama/Thriller,Brad Furman,Matthew McConaughey/Marisa Tomei
962,Michael Clayton,Crime/Drama/Thriller,Tony Gilroy,George Clooney/Tilda Swinton
963,Matchstick Men,Crime/Drama/Thriller,Ridley Scott,Nicolas Cage/Alison Lohman
964,RockNRolla,Action/Crime/Thriller,Guy Ritchie,Gerard Butler/Tom Wilkinson
965,The Crying Game,Crime/Drama/Romance,Neil Jordan,Stephen Rea/Jaye Davidson
966,An Education,Drama,Lone Scherfig,Carey Mulligan/Peter Sarsgaard
967,The Emperor's New Groove,Animation/Adventure/Comedy,Mark Dindal,David Spade/John Goodman
968,Beasts of the Southern Wild,Drama/Fantasy,Benh Zeitlin,Quvenzhané Wallis/Dwight Henry
969,Videodrome,Horror/Mystery/Sci-Fi,David Cronenberg,James Woods/Debbie Harry
970,The Talented Mr. Ripley,Crime/Drama/Thriller,Anthony Minghella,Matt Damon/Gwyneth Paltrow
971,Dumbo,Animation/Drama/Family,Samuel Armstrong,Sterling Holloway/Edward Brophy
972,Flight,Drama/Thriller,Robert Zemeckis,Denzel Washington/Nadine Velazquez
973,Murder on the Orient Express (1974 film),Crime/Drama/Mystery,Sidney Lumet,Albert Finney/Lauren Bacall
974,Animal Kingdom,Crime/Drama/Thriller,David Michôd,James Frecheville/Guy Pearce
975,Megamind,Animation/Action/Comedy,Tom McGrath,Will Ferrell/Jonah Hill
976,Fish Tank,Drama,Andrea Arnold,Katie Jarvis/Michael Fassbender
977,Gosford Park,Comedy/Drama/Mystery,Robert Altman,Maggie Smith/Ryan Phillippe
978,Cinderella,Drama/Family/Fantasy,Kenneth Branagh,Lily James/Cate Blanchett
979,Cape Fear,Crime/Thriller,Martin Scorsese,Robert De Niro/Nick Nolte
980,Chocolat,Drama/Romance,Lasse Hallström,Juliette Binoche/Judi Dench
981,Beverly Hills Cop,Action/Comedy/Crime,Martin Brest,Eddie Murphy/Judge Reinhold
982,Sunshine,Adventure/Sci-Fi/Thriller,Danny Boyle,Cillian Murphy/Rose Byrne
983,Monster,Biography/Crime/Drama,Patty Jenkins,Charlize Theron/Christina Ricci
984,Rango,Animation/Adventure/Comedy,Gore Verbinski,Johnny Depp/Isla Fisher
985,Dr. No,Action/Adventure/Thriller,Terence Young,Sean Connery/Ursula Andress
