,Name,Genre,Director,Cast,Image,Trailer
55,Resident Evil: The Final Chapter (2016),Action/Horror/Sci-Fi/Thriller,Paul W.S. Anderson,Ali Larter/Milla Jovovich,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTAwNjA1MTcwMDdeQTJeQWpwZ15BbWU4MDM1NTA4MTAy._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3891508761?ref_=cs_ov_vi
56,A Dog's Purpose (2017),Adventure/Comedy/Drama/Family,Lasse Hallström,Britt Robertson/Dennis Quaid,"https://images-na.ssl-images-amazon.com/images/M/MV5BNDQ4NjkxNzgzN15BMl5BanBnXkFtZTgwMjAzODQ4OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi3182736921?ref_=cs_ov_vi
57,Forushande (2016),Drama/Thriller,Asghar Farhadi,Shahab Hosseini/Taraneh Alidoosti,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTcyMTJlOGQtNWMyMC00YjgyLTk4NWQtYzZlNmM3OTc5OGM2XkEyXkFqcGdeQXVyNDk5NDkxODQ@._V1_UY209_CR8,0,140,209_AL_.jpg",http://www.imdb.com
58,Same Kind of Different as Me (2017),Drama,Michael Carney,Renée Zellweger/Jon Voight,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjM0ODA1NjEzNV5BMl5BanBnXkFtZTgwNzE0Mjc3OTE@._V1_UY209_CR1,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi625719065?ref_=cs_ov_vi
59,I Am Not Your Negro (2016),Documentary,Raoul Peck,Samuel L. Jackson,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjc4Nzc0MjM1OV5BMl5BanBnXkFtZTgwMjAzMDE3OTE@._V1_UY209_CR89,0,140,209_AL_.jpg",http://www.imdb.com
60,The Lego Batman Movie (2017),Animation/Action/Comedy/Family/Fantasy,Chris McKay,Rosario Dawson/Ralph Fiennes,"https://images-na.ssl-images-amazon.com/images/M/MV5BMzA1Mzc2NzgxMV5BMl5BanBnXkFtZTgwNTk1MDYwMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi773764889?ref_=cs_ov_vi
61,Fifty Shades Darker (2017),Drama/Romance,James Foley,Jamie Dornan/Tyler Hoechlin,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ5MjAyNjY3NF5BMl5BanBnXkFtZTgwMjY5OTAwMDI@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi715765273?ref_=cs_ov_vi
62,John Wick: Chapter 2 (2017),Action/Crime/Thriller,Chad Stahelski,Keanu Reeves/Ruby Rose,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUxMzc4MTkwOF5BMl5BanBnXkFtZTgwOTE5MDcyMDI@._V1_UY209_CR3,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1082701337?ref_=cs_ov_vi
63,The Dark Tower (2017),Adventure/Fantasy/Horror/Sci-Fi/Western,Nikolaj Arcel,Katheryn Winnick/Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/M/MV5BYTcwY2IyNDctM2EwMS00ZGYxLWE3OTYtMDU4MzBiZDgzZDQ0XkEyXkFqcGdeQXVyMDc5MjI0Ng@@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com
64,The Maze Runner: The Death Cure (2018),Action/Sci-Fi/Thriller,Wes Ball,Dylan O'Brien/Katherine McNamara,"https://images-na.ssl-images-amazon.com/images/M/MV5BNjQwMjMxNWYtZjAzMC00ZTkxLTk0Y2EtODFkOGM0NGViYjI3XkEyXkFqcGdeQXVyNjgyNTg5NTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com
65,The Great Wall (2016),Action/Adventure/Fantasy/Mystery/Thriller,Yimou Zhang,Matt Damon/Pedro Pascal,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA3MjAzOTQxNF5BMl5BanBnXkFtZTgwOTc5OTY1OTE@._V1_UX140_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi1468577305?ref_=cs_ov_vi
66,Fist Fight (2017),Comedy,Richie Keen,Christina Hendricks/JoAnna Garcia Swisher,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgzNDQ3NDA5M15BMl5BanBnXkFtZTgwNDY5ODAxMDI@._V1_UY209_CR0,0,140,209_AL_.jpg",http://www.imdb.com/video/imdb/vi2341778969?ref_=cs_ov_vi
67,God Particle (2017),Horror/Mystery/Sci-Fi/Thriller,Julius Onah,Gugu Mbatha-Raw/Elizabeth Debicki,http://ia.media-imdb.com/images/G/01/imdb/images/nopicture/140x209/film-4001654135._CB527134274_.png,http://www.imdb.com
